Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,"Product Material Colour (tube, jar etc.)",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Foil,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments
7929,2011/07/01,112,> 12 Weeks,957,Closed,2013/08/21,J&J,Aqueous Jar 350ml L/Frag Turkey,Jar,,,,Trevor,,KAMMAN,,,,,,,,,,,,,,,,,,,,,,Sample sent 28Jul 14/3/13 mail sent. 4/6/13 Mail sent. 25/7/13 Mail sent  21/8/13 Project closed  Boxed in office .,,,,,,,,,,,,,,,No order,,,,,,,,,,,,,
7930,2011/07/01,17,> 12 Weeks,290,Closed,2011/10/24,J&J,Aqueous Jar 100Ml F/Free Jar,Jar,,,CJAROJAJ201F,Trevor,,,,,,,,,,,,,,,,,,,PP,0,,,,Sample sent 3 Aug,,,,,,,,,,,83774,22000,,,Order,,,,,,,,,,,,,
7931,2011/07/01,113,> 12 Weeks,965,Closed,2013/08/29,J&J,Baby Powder 50 Gm B/Time P/Proof Bott,Mould list (1 series),,,,Trevor,,TRIAL APPRVD Hk,,,,,,,,,,30.10.12,,,,,,,,,,,,Awtg artwork,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7932,2011/07/01,85,> 12 Weeks,768,Closed,2013/02/13,J&J,Baby Powder 100 Gm B/Time P/proof Bott,Mould,,,C0100JAJ052F,Trevor,,KAMMAN,,,08/06/2012,,2012/07/10,2012/07/09,,,2013/02/11,29.08.12,,,,,,,,,,,,Do trial .29/10 Ian.F to sign off rediness review.,,,,,,,,,,,95588,0,2012/07/10,,Order,,,,,,,,,,,,,
7933,2011/07/01,66,> 12 Weeks,368,Closed,2012/10/01,J&J,Baby Powder 200Gm B/Time P/Proof Bott,Bottle,,,C0200JAJ068F,Trevor,,TRIAL APPRVD Kamman,,,08/06/2012,,2012/07/10,2012/07/09,,,2012/12/30,2012/08/01,,,,,,,,,,,,Do trial,,,,,,,,,,,,32000,2012/07/10,,Order,,,,,,,,,,,,,
7934,2011/07/01,66,> 12 Weeks,368,Closed,2012/10/01,J&J,Baby Powder 400Gm B/Time P/Proof Bott,Bottle,,,C40TBJUS090F,Trevor,,TRIAL APPRVD Kamman,,X,08/06/2012,,2012/07/10,2012/07/09,,,2012/09/06,10.09.12,,,35,,,,,,,,,Do trial,,,,,,,,,,,91780,20000,2012/07/10,,Order (a/w),,,,,,,,,,,,,
7935,2011/07/01,5,< 6 Weeks,32,Closed,2011/08/02,SH'ZEN,Vanilla Cashmere Body Crm 75Ml T&C Coex prl crm 38 B/On P Crm,Tube,,,C40TBSHZ060F,Mark K,,,COEX,,,,,,,,,,,,40,90,prl cream,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,Natural,10,38 B/On Prl Cream,Awtg new artwork ex J&J,,,,,,,,,,,81773,12000,,,Order,,,,,,,,,,,,,
7936,2011/07/01,5,< 6 Weeks,32,Closed,2011/08/02,SH'ZEN,Vanilla cashmere Cleans Gel 100Ml T&C Coex Prl Crm 38 B/On Prl Crm,Tube,,,CCAP3SHZ020W,Mark K,,,COEX,,,,,,,,,,,,40,120,prl cream,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On Prl Cream,Awtg new artwork ex J&J,,,,,,,,,,,81774,12000,,,Order,,,,,,,,,,,,,
7937,2011/07/04,4,> 12 Weeks,110,Closed,2011/07/26,Nimue Skin,Nimue Man Hydrate Hydro Balance 100ml T&C Coex Brown 40 F/T brown,Tube,,,,Jayne,,,COEX,,,,,,,,,,,,40,120,Brown,40,40FT (PP H707_12),F/T,,8,40 Flip Brown,Awtg new artwork ex J&J,,,,,,,,,,,,0,,,Order,,,,,,,,,,,,,
7938,2011/06/07,5,< 6 Weeks,1,Closed,2011/07/07,Inco Labs,One & All Hand Cream 250Ml T&C Ld lt pink 48 B/On nat,Tube,,,C50TBINC063F,Linda,,,COEX,,,,,,,,,,,,50,180,Nat,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Nat,Awtg new artwork ex J&J,,,,,,,,,,,81558,5000,,,Order,,,,,,,,,,,,,
